CVE_ENT,NOM_ENT,CVE_MUN,NOM_MUN,CVE_SUN,NOM_SUN,P_2015,P_2016,P_2017,P_2018,P_2019,P_2020,P_2021,P_2022,P_2023,P_2024,P_2025,P_2026,P_2027,P_2028,P_2029,P_2030
14,Jalisco,14097,Tlajomulco de Zúñiga,M14.01,Guadalajara,536591,561383,584860,606624,626468,644175,659547,672358,682404,689464,693329,693804,690668,683716,672719,657449
14,Jalisco,14098,San Pedro Tlaquepaque,M14.01,Guadalajara,667549,676704,685533,693773,701444,708568,715140,721177,726670,731622,736025,739901,743233,746023,748283,749996
14,Jalisco,14101,Tonalá,M14.01,Guadalajara,535011,545049,554459,563033,570774,577668,583708,588874,593150,596524,598988,600516,601088,600698,599311,596901
14,Jalisco,14120,Zapopan,M14.01,Guadalajara,1357002,1373625,1389904,1405216,1419678,1433360,1446244,1458470,1469966,1480871,1491181,1500960,1510170,1518901,1527228,1535107
14,Jalisco,14124,Zapotlanejo,M14.01,Guadalajara,68588,69414,70230,71003,71737,72439,73099,73729,74319,74871,75399,75892,76353,76777,77171,77533
14,Jalisco,14047,Jamay,M14.02,Ocotlán,24993,25302,25614,25921,26211,26504,26778,27046,27305,27555,27793,28016,28230,28432,28619,28790
14,Jalisco,14063,Ocotlán,M14.02,Ocotlán,101463,102396,103347,104269,105174,106059,106942,107813,108680,109553,110424,111303,112197,113106,114026,114966
14,Jalisco,14066,Poncitlán,M14.02,Ocotlán,52213,52866,53501,54100,54667,55191,55675,56125,56541,56916,57255,57554,57818,58039,58221,58361
14,Jalisco,14067,Puerto Vallarta,M14.03,Puerto Vallarta,277829,282765,287460,291805,295799,299434,302720,305640,308195,310374,312179,313594,314626,315255,315472,315274
18,Nayarit,18020,Bahía de Banderas,M14.03,Puerto Vallarta,149560,155214,160575,165598,170254,174510,178343,181722,184621,187008,188856,190152,190855,190931,190350,189071
15,México,15006,Almoloya del Río,M15.01,Tianguistenco,11347,11523,11695,11860,12016,12169,12314,12447,12573,12692,12795,12896,12982,13057,13119,13172
15,México,15012,Atizapán,M15.01,Tianguistenco,11547,11762,11969,12166,12342,12511,12665,12793,12910,13003,13077,13134,13171,13179,13173,13142
15,México,15019,Capulhuac,M15.01,Tianguistenco,36233,36648,37060,37458,37834,38196,38546,38875,39198,39501,39789,40066,40331,40587,40825,41056
15,México,15043,Xalatlaco,M15.01,Tianguistenco,29127,29785,30432,31037,31603,32120,32592,33007,33365,33665,33896,34056,34143,34158,34088,33927
15,México,15098,Texcalyacac,M15.01,Tianguistenco,5378,5451,5520,5586,5649,5711,5769,5821,5873,5922,5969,6010,6052,6083,6116,6148
15,México,15101,Tianguistenco,M15.01,Tianguistenco,77220,78355,79472,80527,81524,82457,83330,84133,84876,85543,86141,86661,87109,87478,87763,87966
15,México,15005,Almoloya de Juárez,M15.02,Toluca,170256,174234,178085,181703,185061,188124,190877,193287,195321,196964,198179,198955,199255,199057,198337,197078
15,México,15018,Calimaya,M15.02,Toluca,54423,55727,56987,58174,59285,60309,61241,62066,62795,63392,63875,64222,64431,64488,64400,64138
15,México,15027,Chapultepec,M15.02,Toluca,11330,11700,12053,12391,12701,12986,13234,13458,13640,13789,13894,13954,13964,13932,13843,13700
15,México,15051,Lerma,M15.02,Toluca,145727,148878,151922,154788,157467,159948,162204,164220,165993,167497,168726,169658,170285,170582,170546,170158
15,México,15054,Metepec,M15.02,Toluca,235173,237398,239599,241767,243918,246055,248200,250361,252571,254826,257145,259538,262033,264630,267348,270207
15,México,15055,Mexicaltzingo,M15.02,Toluca,12727,12945,13164,13367,13563,13744,13918,14075,14215,14343,14458,14555,14636,14695,14740,14762
15,México,15062,Ocoyoacac,M15.02,Toluca,66732,67809,68865,69862,70816,71711,72557,73339,74066,74721,75319,75845,76303,76685,76991,77223
15,México,15067,Otzolotepec,M15.02,Toluca,83938,85480,86967,88358,89638,90805,91852,92772,93560,94212,94722,95079,95284,95325,95195,94899
15,México,15072,Rayón,M15.02,Toluca,13479,13725,13962,14195,14407,14608,14791,14962,15116,15252,15368,15471,15549,15606,15643,15659
15,México,15073,San Antonio la Isla,M15.02,Toluca,26906,27977,29016,29983,30878,31682,32387,32993,33483,33839,34058,34134,34052,33805,33383,32778
15,México,15076,San Mateo Atenco,M15.02,Toluca,77004,77856,78690,79472,80208,80903,81552,82161,82729,83265,83763,84224,84662,85068,85445,85796
15,México,15087,Temoaya,M15.02,Toluca,100505,102503,104439,106249,107918,109436,110794,111977,112973,113772,114364,114732,114872,114776,114430,113818
15,México,15090,Tenango del Valle,M15.02,Toluca,85650,87046,88411,89703,90911,92048,93092,94050,94916,95686,96355,96917,97367,97700,97919,98013
15,México,15106,Toluca,M15.02,Toluca,888043,901274,914141,926382,937994,948950,959238,968840,977750,985940,993393,1000098,1006027,1011168,1015505,1019014
15,México,15115,Xonacatlán,M15.02,Toluca,51800,52391,52970,53520,54038,54531,54999,55437,55857,56255,56624,56977,57307,57622,57913,58191
15,México,15118,Zinacantepec,M15.02,Toluca,183888,187939,191841,195496,198889,201988,204780,207236,209342,211070,212397,213306,213781,213788,213325,212356
11,Guanajuato,11023,Pénjamo,M16.01,La Piedad-Pénjamo,156371,157020,157653,158343,159111,159968,160917,161971,163141,164428,165841,167396,169102,170962,172986,175200
16,Michoacán de Ocampo,16069,La Piedad,M16.01,La Piedad-Pénjamo,105705,106729,107688,108612,109512,110385,111233,112046,112832,113587,114309,115008,115672,116309,116910,117484
16,Michoacán de Ocampo,16022,Charo,M16.02,Morelia,22534,22704,22857,22998,23137,23273,23402,23528,23652,23775,23893,24013,24134,24255,24377,24499
16,Michoacán de Ocampo,16053,Morelia,M16.02,Morelia,790028,798330,805805,812823,819361,825585,831328,836765,841844,846628,851090,855211,859108,862747,866157,869284
16,Michoacán de Ocampo,16088,Tarímbaro,M16.02,Morelia,102082,106039,109722,113136,116249,119032,121443,123456,125030,126126,126727,126789,126287,125186,123447,121041
16,Michoacán de Ocampo,16043,Jacona,M16.03,Zamora,70018,70662,71229,71750,72232,72669,73082,73465,73811,74130,74418,74682,74921,75150,75350,75541
16,Michoacán de Ocampo,16108,Zamora,M16.03,Zamora,199357,201312,203103,204807,206438,207985,209464,210865,212191,213432,214600,215689,216705,217648,218518,219315
17,Morelos,17002,Atlatlahucan,M17.01,Cuautla,21792,22314,22813,23282,23732,24153,24539,24884,25196,25463,25686,25864,25994,26068,26092,26048
17,Morelos,17004,Ayala,M17.01,Cuautla,85712,86850,87947,89014,90046,91043,92008,92934,93823,94672,95481,96248,96964,97631,98253,98826
17,Morelos,17006,Cuautla,M17.01,Cuautla,194942,197785,200516,203165,205737,208227,210626,212934,215144,217246,219233,221111,222863,224493,225992,227354
17,Morelos,17026,Tlayacapan,M17.01,Cuautla,17894,18164,18421,18668,18906,19129,19342,19546,19733,19907,20066,20212,20342,20457,20558,20643
17,Morelos,17029,Yautepec,M17.01,Cuautla,104091,105342,106537,107695,108820,109914,110977,112012,113017,113995,114943,115870,116762,117634,118478,119299
17,Morelos,17030,Yecapixtla,M17.01,Cuautla,51739,52759,53732,54654,55521,56334,57081,57760,58362,58885,59327,59677,59934,60093,60154,60107
17,Morelos,17007,Cuernavaca,M17.02,Cuernavaca,385758,388379,390942,393607,396418,399426,402642,406087,409831,413846,418234,422939,428038,433536,439454,445848
17,Morelos,17008,Emiliano Zapata,M17.02,Cuernavaca,95967,98399,100692,102839,104829,106645,108281,109718,110944,111949,112714,113229,113492,113482,113194,112614
17,Morelos,17009,Huitzilac,M17.02,Cuernavaca,19048,19340,19617,19886,20134,20372,20598,20805,21002,21179,21337,21480,21604,21707,21800,21862
17,Morelos,17011,Jiutepec,M17.02,Cuernavaca,216808,219258,221543,223686,225720,227649,229487,231242,232927,234549,236123,237656,239153,240636,242096,243550
17,Morelos,17018,Temixco,M17.02,Cuernavaca,117291,118712,120069,121362,122613,123812,124966,126068,127123,128134,129097,130020,130897,131735,132531,133290
17,Morelos,17020,Tepoztlán,M17.02,Cuernavaca,46592,47640,48642,49602,50517,51373,52178,52918,53584,54181,54691,55115,55448,55684,55814,55841
17,Morelos,17024,Tlaltizapán de Zapata,M17.02,Cuernavaca,52824,53382,53926,54471,55013,55553,56098,56647,57189,57743,58292,58841,59398,59954,60516,61082
17,Morelos,17028,Xochitepec,M17.02,Cuernavaca,68886,70213,71450,72614,73694,74691,75599,76409,77130,77744,78254,78656,78946,79124,79184,79116
18,Nayarit,18008,Xalisco,M18.01,Tepic,56670,57848,58982,60054,61076,62038,62948,63798,64584,65317,65986,66594,67139,67621,68042,68396
18,Nayarit,18017,Tepic,M18.01,Tepic,414025,420750,427361,433734,439916,445889,451727,457408,462953,468384,473716,478951,484089,489201,494247,499249
19,Nuevo León,19001,Abasolo,M19.01,Monterrey,2900,2907,2911,2910,2911,2918,2926,2931,2947,2971,2993,3024,3065,3107,3159,3217
19,Nuevo León,19006,Apodaca,M19.01,Monterrey,596420,613112,627895,641618,654249,665734,676062,685177,693045,699613,704826,708642,710993,711815,711033,708564
19,Nuevo León,19009,Cadereyta Jiménez,M19.01,Monterrey,97675,99322,100824,102293,103732,105145,106525,107879,109207,110511,111786,113033,114260,115463,116642,117797
19,Nuevo León,19010,El Carmen,M19.01,Monterrey,38331,40383,42305,44112,45792,47326,48695,49869,50848,51603,52106,52357,52324,51994,51345,50348
19,Nuevo León,19012,Ciénega de Flores,M19.01,Monterrey,41913,43907,45756,47492,49098,50563,51865,52995,53927,54652,55150,55407,55410,55136,54568,53691
19,Nuevo León,19018,García,M19.01,Monterrey,242255,255777,268306,280063,290911,300745,309453,316902,322969,327534,330490,331705,331037,328380,323595,316556
19,Nuevo León,19019,San Pedro Garza García,M19.01,Monterrey,133366,134035,134704,135509,136480,137614,138945,140470,142218,144201,146429,148936,151719,154814,158231,162003
19,Nuevo León,19021,General Escobedo,M19.01,Monterrey,422755,433280,442535,451138,459071,466325,472873,478712,483816,488156,491714,494469,496388,497443,497597,496811
19,Nuevo León,19025,General Zuazua,M19.01,Monterrey,74401,78444,82201,85722,88975,91913,94516,96734,98532,99878,100727,101053,100810,99957,98458,96279
19,Nuevo León,19026,Guadalupe,M19.01,Monterrey,695036,697733,700024,702812,706231,710413,715442,721449,728541,736824,746405,757417,769965,784181,800190,818130
19,Nuevo León,19031,Juárez,M19.01,Monterrey,330887,346371,360519,373725,385877,396864,406584,414934,421798,427063,430616,432347,432122,429817,425315,418471
19,Nuevo León,19039,Monterrey,M19.01,Monterrey,1088555,1094334,1099937,1106817,1115043,1124835,1136308,1149605,1164927,1182363,1202138,1224316,1249055,1276540,1306879,1340264
19,Nuevo León,19041,Pesquería,M19.01,Monterrey,90421,95458,100180,104642,108796,112583,115959,118875,121285,123138,124391,124992,124892,124044,122401,119905
19,Nuevo León,19045,Salinas Victoria,M19.01,Monterrey,53092,55130,56991,58746,60377,61868,63214,64394,65399,66223,66846,67250,67430,67371,67054,66465
