CVEGEO,2020-01-14,2020-01-15,2020-01-16,2020-01-17,2020-01-18,2020-01-19,2020-01-20,2020-01-21,2020-01-22,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28
24028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,1.0,,1.0,4.0,2.0,1.0,4.0,2.0,1.0,2.0,3.0,,5.0,3.0,1.0,2.0,2.0,,1.0,2.0,3.0,3.0,2.0,2.0,,2.0,,2.0,1.0,,1.0,1.0,2.0,3.0,,,1.0,2.0,,7.0,6.0,2.0,1.0,3.0,9.0,4.0,9.0,8.0,3.0,7.0,7.0,4.0,6.0,12.0,8.0,6.0,6.0,10.0,11.0,10.0,4.0,8.0,7.0,13.0,11.0,12.0,12.0,13.0,23.0,16.0,12.0,14.0,9.0,2.0,5.0,,,
24029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,1.0,1.0,,,,
24031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,
24032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,2.0,1.0,,1.0,,,1.0,1.0,,,,,1.0,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,2.0,1.0,,,,,,
24033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
24035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,3.0,,1.0,,,,,,,2.0,,,,1.0,1.0,,,,,,,,2.0,1.0,2.0,7.0,3.0,3.0,,2.0,4.0,1.0,,3.0,6.0,1.0,1.0,,,3.0,2.0,3.0,,3.0,6.0,,2.0,3.0,1.0,2.0,,3.0,,,,,,
24036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
24037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,2.0,1.0,1.0,,3.0,5.0,3.0,3.0,5.0,4.0,2.0,3.0,8.0,10.0,1.0,4.0,4.0,5.0,2.0,6.0,,4.0,8.0,3.0,4.0,6.0,3.0,1.0,3.0,,
24038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
24039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
24040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,
24041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,
24043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
24049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,1.0,,,
24051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
24052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
24053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,1.0,,,,1.0,,,,,,,,,,,1.0,,,
24054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,4.0,5.0,1.0,1.0,2.0,,1.0,3.0,1.0,,,,,,1.0,,,,,,,
24055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,
24056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,2.0,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,2.0,,,1.0,,,,
24057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,
24058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,
25001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,1.0,,2.0,,1.0,3.0,,1.0,,,3.0,4.0,3.0,1.0,3.0,1.0,2.0,3.0,5.0,8.0,8.0,8.0,4.0,2.0,4.0,16.0,10.0,7.0,12.0,16.0,5.0,4.0,6.0,8.0,6.0,11.0,11.0,3.0,6.0,9.0,15.0,8.0,10.0,8.0,6.0,10.0,10.0,9.0,18.0,18.0,17.0,11.0,18.0,14.0,28.0,15.0,14.0,14.0,7.0,8.0,5.0,2.0,3.0,,,,,
25002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,1.0,,1.0,,,,2.0,,,2.0,1.0,,1.0,,,,,,,,,,,1.0,1.0,,1.0,,,3.0,,1.0,,,1.0,,,,,,
25003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,1.0,,,,,1.0,,2.0,,,,,,1.0,,,1.0,,,,,1.0,,,,,,3.0,,,,,,1.0,,1.0,,,,,,,1.0,,,,,,,,,
25004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,1.0,,,2.0,,,,,,,,,,
25005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,
25006,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,2.0,1.0,1.0,2.0,1.0,1.0,5.0,4.0,5.0,9.0,9.0,8.0,9.0,10.0,8.0,11.0,16.0,20.0,13.0,14.0,21.0,19.0,12.0,21.0,21.0,32.0,28.0,28.0,23.0,27.0,31.0,25.0,24.0,15.0,27.0,29.0,27.0,40.0,18.0,26.0,32.0,38.0,40.0,19.0,20.0,22.0,31.0,38.0,56.0,19.0,33.0,33.0,33.0,23.0,31.0,34.0,26.0,49.0,39.0,33.0,22.0,34.0,44.0,34.0,28.0,26.0,18.0,25.0,15.0,11.0,8.0,3.0,2.0,,,
25007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,
25008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,
25009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,2.0,,,,,1.0,,,,,,1.0,,,1.0,,1.0,,,,1.0,,,1.0,,,,,,,,,,2.0,,2.0,1.0,,,,4.0,1.0,1.0,,,,,1.0,,,,,,
25010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,1.0,,1.0,,,,,,,,2.0,,,,,,2.0,1.0,,3.0,2.0,,,1.0,,,,2.0,,,,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,2.0,,,,,,,,,
25011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,1.0,2.0,2.0,,,1.0,,3.0,2.0,1.0,1.0,1.0,3.0,2.0,2.0,4.0,3.0,1.0,1.0,,6.0,1.0,2.0,1.0,3.0,2.0,3.0,4.0,,5.0,3.0,4.0,1.0,8.0,1.0,4.0,13.0,3.0,5.0,5.0,11.0,12.0,6.0,9.0,9.0,5.0,6.0,5.0,7.0,3.0,1.0,,,,
25012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,1.0,2.0,,1.0,,,2.0,,2.0,,1.0,,1.0,2.0,2.0,3.0,,,4.0,4.0,,5.0,,3.0,7.0,6.0,6.0,10.0,16.0,12.0,8.0,7.0,11.0,15.0,5.0,7.0,1.0,5.0,7.0,13.0,9.0,18.0,7.0,12.0,12.0,21.0,12.0,13.0,23.0,15.0,18.0,14.0,21.0,47.0,21.0,11.0,19.0,24.0,10.0,10.0,6.0,9.0,5.0,2.0,,,
25013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,1.0,,1.0,1.0,,,,2.0,,,1.0,1.0,1.0,,,,,,1.0,,,,1.0,,,,,1.0,1.0,,1.0,,1.0,,,,,,,,1.0,1.0,,,,,,,
25014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,1.0,1.0,,,,1.0,1.0,,,,,,,,,2.0,1.0,1.0,,,,,,,,,,,
25015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,2.0,,,,,1.0,1.0,,,,1.0,1.0,1.0,,,,1.0,,3.0,,,,2.0,1.0,1.0,2.0,1.0,,1.0,,,1.0,,,,,3.0,2.0,1.0,2.0,,2.0,1.0,1.0,,1.0,2.0,4.0,5.0,6.0,7.0,6.0,5.0,5.0,6.0,7.0,5.0,4.0,1.0,2.0,1.0,,,,,,
25016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,2.0,,,,,,,,,1.0,,,,,,,,
25017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,1.0,,2.0,,1.0,1.0,,,,1.0,,,2.0,1.0,,,,,,,1.0,,1.0,,1.0,,1.0,1.0,3.0,,,,,,,,,,,,
25018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,1.0,,,,,,1.0,1.0,,2.0,1.0,,,1.0,2.0,2.0,,1.0,1.0,2.0,,1.0,1.0,1.0,2.0,3.0,2.0,,2.0,5.0,2.0,3.0,1.0,3.0,1.0,,2.0,5.0,5.0,2.0,8.0,6.0,5.0,3.0,5.0,3.0,3.0,2.0,4.0,2.0,2.0,5.0,6.0,1.0,2.0,1.0,,,1.0,,,,,,
26002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,3.0,,,,,2.0,3.0,,2.0,1.0,,2.0,,,1.0,,1.0,,1.0,2.0,1.0,,2.0,4.0,4.0,,1.0,1.0,1.0,,,,,,,
26003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
26004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
26012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,1.0,,,,,,1.0,,,,,,
26015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
26017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,3.0,1.0,,,1.0,,,1.0,,1.0,2.0,,2.0,1.0,1.0,1.0,,2.0,1.0,,2.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,,1.0,1.0,2.0,,1.0,,,2.0,,1.0,,,,,,,,,,
26018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,1.0,,,,,,,1.0,1.0,,1.0,2.0,,1.0,,,,,1.0,,2.0,,,2.0,,3.0,3.0,4.0,4.0,4.0,2.0,4.0,2.0,3.0,3.0,5.0,14.0,6.0,6.0,12.0,10.0,6.0,10.0,9.0,9.0,13.0,12.0,15.0,13.0,12.0,21.0,18.0,4.0,17.0,6.0,7.0,5.0,1.0,2.0,2.0,1.0,,,
26019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,2.0,2.0,3.0,1.0,,,1.0,,1.0,1.0,,,,1.0,2.0,1.0,,,,1.0,1.0,1.0,,1.0,,,,,,,,,
26020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
26025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,
26026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,1.0,,,1.0,1.0,,,,,1.0,2.0,1.0,,,,,,1.0,,,,,,,,,,,,,,
26029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,4.0,,1.0,,4.0,1.0,,2.0,1.0,1.0,2.0,1.0,,1.0,1.0,2.0,5.0,,,,2.0,2.0,3.0,1.0,1.0,4.0,2.0,2.0,2.0,1.0,1.0,1.0,,,,,,,
26030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,1.0,3.0,,2.0,,,,1.0,2.0,,,1.0,3.0,,,,5.0,,,4.0,,1.0,1.0,1.0,2.0,,2.0,1.0,,,,3.0,4.0,5.0,6.0,6.0,6.0,7.0,8.0,6.0,5.0,6.0,9.0,6.0,5.0,17.0,11.0,15.0,16.0,26.0,16.0,23.0,28.0,25.0,20.0,33.0,21.0,21.0,26.0,23.0,35.0,32.0,39.0,23.0,25.0,22.0,15.0,12.0,7.0,2.0,,,,
26033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,1.0,1.0,,,3.0,,2.0,1.0,,1.0,2.0,,,,1.0,,,,,1.0,,,,,,,,1.0,,,,,,,1.0,,,1.0,,1.0,,1.0,,2.0,,2.0,,,,1.0,,,,,,,,,,
26036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,1.0,,2.0,1.0,1.0,2.0,3.0,2.0,,,,,,,,
26038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
26041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,1.0,1.0,2.0,2.0,1.0,1.0,3.0,1.0,1.0,,,1.0,2.0,1.0,,,,,,,,,,
26042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,1.0,2.0,1.0,,1.0,,1.0,,,3.0,2.0,,3.0,1.0,3.0,5.0,3.0,3.0,3.0,3.0,1.0,5.0,3.0,8.0,6.0,3.0,6.0,3.0,2.0,6.0,4.0,1.0,6.0,1.0,1.0,1.0,,,,,,,
26043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,1.0,,1.0,,2.0,2.0,1.0,1.0,,,4.0,,2.0,2.0,,1.0,2.0,2.0,4.0,3.0,2.0,1.0,4.0,8.0,5.0,9.0,5.0,8.0,7.0,10.0,15.0,12.0,6.0,13.0,16.0,10.0,16.0,12.0,15.0,10.0,12.0,11.0,14.0,4.0,6.0,6.0,5.0,1.0,,,,
26044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
26045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,1.0,,,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
26051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
26055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,1.0,,1.0,,,1.0,3.0,2.0,,,,1.0,5.0,,1.0,4.0,3.0,13.0,4.0,8.0,6.0,7.0,2.0,3.0,4.0,8.0,1.0,9.0,4.0,6.0,2.0,3.0,2.0,3.0,3.0,3.0,7.0,3.0,3.0,3.0,8.0,4.0,6.0,4.0,5.0,4.0,5.0,4.0,8.0,6.0,3.0,7.0,10.0,4.0,2.0,4.0,7.0,3.0,3.0,5.0,3.0,1.0,,,,,,,,
26058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,1.0,3.0,,,,,,,,,,,,,,
26060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,1.0,,,,,,,,,,
26068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
